product_id,name,category,price,currency,stock_status,min_shipping_days,max_shipping_days,short_description,full_description,brand,size,colors,launch_year,sku,shipping_cost,shipping_regions,returns_policy,warranty_policy,specs,variants,source
ROP-001,Abrigo Largo Lana Nórdica,Outerwear,289900.0,COP,in_stock,2,5,Abrigo largo de lana sintética con corte elegante y caída recta.,"Abrigo para clima frío con silueta recta, cuello amplio y acabado suave al tacto. Ideal para looks formales o urbanos. Combina con jeans, pantalones sastre y botas. Pensado para uso diario en temporadas frías y entretiempo.",Lunaria Studio,,,,,18000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Material exterior tipo lana, cierre frontal, bolsillos laterales, forro interno ligero.","Tallas: S, M, L | Colores: Camel, Negro, Gris",Catalogo empresa moda otoño
ROP-002,Saco Tejido Andino,Knitwear,149900.0,COP,in_stock,2,5,Saco tejido de punto medio con textura suave y ajuste cómodo.,Prenda cálida de estilo casual elaborada en tejido de punto con diseño versátil. Aporta confort para jornadas largas y combina fácilmente con jeans o faldas. Recomendado para climas frescos y outfits relajados.,Lunaria Studio,,,,,15000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Tejido medio, cuello redondo, puños acanalados, ajuste regular.","Tallas: S, M, L, XL | Colores: Beige, Vino, Azul Marino",Catalogo empresa moda otoño
ROP-003,Suéter Cuello Tortuga Oslo,Knitwear,139900.0,COP,in_stock,2,5,Suéter cuello tortuga con tacto suave y diseño minimalista.,"Suéter de inspiración nórdica con cuello alto y tejido confortable, pensado para climas fríos. Brinda abrigo sin perder elegancia y funciona muy bien en estilismos monocromáticos, casuales o de oficina.",Nube Atelier,,,,,15000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Cuello tortuga, tejido fino, manga larga, ajuste semientallado.","Tallas: S, M, L | Colores: Marfil, Negro, Verde Oliva",Catalogo empresa moda invierno
ROP-004,Camisa Oxford Blanca Essential,Shirts,119900.0,COP,in_stock,2,4,Camisa oxford blanca de corte clásico para uso formal o casual.,"Camisa confeccionada en tela oxford de aspecto limpio y resistente. Ideal para oficina, reuniones o looks casuales pulidos. Su diseño atemporal permite combinarla con denim, pantalón chino o prendas sastre.",Nube Atelier,,,,,12000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Tela oxford, botones frontales, cuello clásico, ajuste regular.","Tallas: S, M, L, XL | Colores: Blanco, Azul Cielo",Catalogo empresa esenciales
ROP-005,Camisa Rayas Porto,Shirts,124900.0,COP,in_stock,2,4,Camisa de rayas finas con estilo contemporáneo y caída ligera.,"Camisa versátil con patrón de rayas verticales que estiliza visualmente la silueta. Ideal para oficina, salidas o combinaciones con prendas neutras. Su tela fresca aporta comodidad durante todo el día.",Nube Atelier,,,,,12000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Tela ligera, cuello clásico, rayas verticales, botón frontal.","Tallas: S, M, L | Colores: Blanco/Azul, Blanco/Rosa",Catalogo empresa esenciales
ROP-006,Blusa Satín Perla,Blouses,109900.0,COP,in_stock,2,4,Blusa en acabado satinado con brillo suave y tacto fluido.,"Blusa elegante para ocasiones especiales, oficina o cenas. Su acabado satinado le da un aspecto refinado sin perder ligereza. Puede usarse por dentro de pantalones sastre o con faldas midi para un look sofisticado.",Maison Lirio,,,,,12000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Tela satinada, cuello redondo, manga corta, caída fluida.","Tallas: S, M, L | Colores: Perla, Champaña, Negro",Catalogo empresa elegante
ROP-007,Blusa Manga Globo Verona,Blouses,114900.0,COP,in_stock,2,4,Blusa femenina con mangas globo y diseño romántico.,Prenda con volumen en mangas que aporta un toque moderno y delicado. Ideal para elevar looks sencillos y combinar con jeans de tiro alto o faldas. Su construcción busca equilibrio entre comodidad y presencia visual.,Maison Lirio,,,,,12000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Mangas globo, puño elástico, tela suave, ajuste cómodo.","Tallas: S, M, L | Colores: Lavanda, Blanco, Rosa Palo",Catalogo empresa elegante
ROP-008,Camiseta Básica Algodón Aura,T-Shirts,59900.0,COP,in_stock,2,4,Camiseta básica de algodón con ajuste regular y tacto suave.,"Prenda esencial del guardarropa, pensada para uso diario y máxima versatilidad. Su construcción en algodón brinda comodidad, transpirabilidad y fácil combinación con jeans, shorts o capas superiores.",Aura Basics,,,,,10000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Algodón suave, cuello redondo, manga corta, costuras reforzadas.","Tallas: S, M, L, XL | Colores: Blanco, Negro, Arena",Catalogo empresa básicos
ROP-009,Camiseta Oversize Eclipse,T-Shirts,69900.0,COP,in_stock,2,4,Camiseta oversize de inspiración urbana con caída amplia.,"Modelo relajado para quienes buscan una silueta moderna y cómoda. Funciona bien en looks streetwear y casuales. Puede combinarse con joggers, jeans amplios o shorts para un estilo desenfadado.",Aura Basics,,,,,10000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Corte oversize, hombro caído, algodón peinado, cuello rib.","Tallas: M, L, XL | Colores: Negro, Gris Acero, Blanco",Catalogo empresa básicos
ROP-010,Jean Recto Azul Central,Jeans,159900.0,COP,in_stock,2,5,Jean recto clásico en lavado azul medio para uso diario.,"Denim de estilo atemporal con tiro medio y pierna recta. Diseñado para acompañar rutinas urbanas y looks casuales. Ofrece equilibrio entre estructura, movilidad y facilidad para combinar con prendas superiores variadas.",Denim Republic,,,,,15000.0,Colombia,Cambios dentro de 5 días por talla o defecto.,Garantía de 30 días por defectos de fabricación.,"Denim medio, tiro medio, cinco bolsillos, cierre metálico.","Tallas: 6, 8, 10, 12, 14 | Colores: Azul Medio",Catalogo empresa denim
